face_x,face_y,face_width,face_height,face_cam_x,face_cam_y,face_cam_z,torso_x,torso_y,torso_width,torso_height,torso_cam_x,torso_cam_y,torso_cam_z,person_x,person_y,person_width,person_height,person_cam_x,person_cam_y,person_cam_z,mean_cam_z
280.0,36.0,132.0,92.0,0.05059676393949157,-0.22852747671085244,0.802,180.0,123.0,350.0,299.0,0.07447647855579888,0.050134294271195985,0.94,-1.0,-1.0,-1.0,-1.0,,,,0.871
267.0,112.0,131.0,97.0,0.03250947626296065,-0.12503899190538698,0.856,177.0,201.0,271.0,291.0,0.0018690076672947336,0.16417131134178725,0.887,-1.0,-1.0,-1.0,-1.0,,,,0.8714999999999999
269.0,101.0,124.0,93.0,0.3433575451487154,-1.6057205488504973,9.488999999999999,182.0,191.0,282.0,293.0,0.014979700512270329,0.11597665576419162,0.6859999999999999,-1.0,-1.0,-1.0,-1.0,,,,5.0875
260.0,18.0,144.0,104.0,0.16520586652322294,-1.3324577016847825,4.3500000000000005,169.0,123.0,351.0,311.0,0.4429262587472782,0.4765419826381983,7.444,-1.0,-1.0,-1.0,-1.0,,,,5.897
-1.0,-1.0,-1.0,-1.0,,,,-1.0,-1.0,-1.0,-1.0,,,,184.0,205.0,263.0,97.0,0.0656455300593741,0.17101105005057854,8.767000000000001,8.767000000000001
-1.0,-1.0,-1.0,-1.0,,,,-1.0,-1.0,-1.0,-1.0,,,,258.0,179.0,299.0,153.0,0.2942773970954444,0.03935243566602087,1.706,1.706
48.0,140.0,67.0,60.0,-0.5638975526817134,-0.17547241325513174,1.368,-1.0,-1.0,-1.0,-1.0,,,,-1.0,-1.0,-1.0,-1.0,,,,1.368
48.0,123.0,78.0,59.0,-1.5865084217379215,-0.6335728364276324,3.952,-1.0,-1.0,-1.0,-1.0,,,,-1.0,-1.0,-1.0,-1.0,,,,3.952
-1.0,-1.0,-1.0,-1.0,,,,6.0,164.0,300.0,187.0,-1.0974254659648774,0.105233597137818,3.952,-1.0,-1.0,-1.0,-1.0,,,,3.952
-1.0,-1.0,-1.0,-1.0,,,,121.0,156.0,315.0,172.0,-0.0846019550490672,-0.0001127852596963916,1.4369999999999998,-1.0,-1.0,-1.0,-1.0,,,,1.4369999999999998
